"adj. (luce) dazzling","abbagliante, -i"
"adj. inv. (a sufficienza) enough","abbastanza"
"adj. usual","abituale, -i"
"adj. (discussione) heated; (lavoratore) tireless; (sostenitore, lettore) keen; (giocatore) hardened","accanito, -a"
"adj. welcomed","accolto, -a"
"adj. (persona) affectionate; (parole) fond","affettuoso, -a"
"adj. reliable","affidabile, -i"
"adj. (prostrato dal dolore) overcome, (spossato, logorato) exhausted","affranto, -a"
"adj. (comodo: strada) smooth; (facile: lavoro, viaggio) easy","agevole, -i"
"adj. (scena, film, racconto) chilling; (urlo, lamento) bloodcurdling","agghiacciante, -i"
"adj. (carattere, persona, colore) cheerful","allegro, -a"
"adj. (sviluppato in altezza: edificio, albero) tall, (montagna, muro) high; (statura) tall; (elevato: prezzo, stipendio) high; (allegro: morale) high; GEO (in luogo elevato) upper; (profondo: acqua, mare) deep; (tessuto) wide; (acuto: suono, voce) high; fig. (eminente: carica, ufficiale) high","alto, -a"
"adj. (distinto) different; (ulteriore) another; (passato) last; (prossimo) next","altro, -a"
"adj. bitter, embittered","amareggiato, -a"
"adj. (film, racconto) set","ambientato, -a"
"adj. ambitious","ambizioso, -a"
"adj. (trattamento, parita) friendly; (accordo) amicable","amichevole, -i"
"adj. sick","ammalato, -a"
"adj. bewitched","ammaliato, -a"
"adj. (padre, madre, sguardo, cure) loving","amorevole, -i"
"adj. (spazioso: strada) wide; (abbondante: abito) loose; (esauriente: spiegazione) full; (esteso: garanzia) ample","ampio, -a"
"adj. (simile: compito, circostanza, caso) similar","analogo, -a"
"adj. (stretto: sentiero, passaggio, locale) narrow; fig. (meschino: logica, pensiero) narrow-minded","angusto, -a"
"adj. bored","annoiato, -a"
"adj. (gener) anonymous; (insignificante: stile, cerimonia, colorazione) colorless","anonimo, -a"
"adj. (davanti: routa, sedile) front; (precedente: data) previous","anteriore, -i"
"adj. HIST (epoca, popolo, arte) ancient; (non recente: mobile, oggetto, quadro) antique","antico, -a"
"adj. <-ci, -che> (persona) not likeable, disagreeable; (problema, malessere) unpleasant","antipatico, -a"
"adj. (gener) open","aperto, -a"
"adj. (luogo) secluded","appartato, -a"
"adj. (giocatore, musicista) enthusiastic; (parole, appello, sguardo) passionate","appassionato, -a"
"adj. hung (up)","appeso, -a"
"adj. (non preciso: calcolo, cifra, dati, misura) approximate; (vago: lettura, risposta) vague","approssimativo, -a"
"adj. (civiltà, rito, valori) archaic","arcaico, -a"
"adj. (sole) blazing; (clima) blazing hot; (passione, desiderio) burning","ardente, -i"
"adj. (irato) angry","arrabbiato, -a"
"adj. (non presente: da scuola) absent, (per lavoro) away; (inesistente) non-existent; (distratto: aria, sguardo) distracted","assente, -i"
"adj. (comportamento, idea, storia) ridiculous","assurdo, -a"
"adj. (concentrato: interlocutore, ascolto) attentive; (diligente: scolaro) diligent; (accurato: analisi) careful","attento, -a"
"adj. equipped","attrezzato, -a"
"adj. (potente: scienziato) authoritative; (competente: giudizio, parere) definitive","autorevole, -i"
"adj. (giudizio, atto) rash; (persona) reckless","avventato, -a"
"adj. rival","avversario, -a"
"adj. (scoraggiato) discouraged","avvilito, -a"
"adj. (racconto, spettacolo) gripping","avvincente, -i"
"adj. wrapped","avvolto, -a"
"adj. perfect; (risposta) correct","azzeccato, -a"
"adj. (con liquido) wet; (umido) damp","bagnato, -a"
"adj. (di statura) short; (edificio, muro, tacco) low; (inferiore: ripiano, parte, livello) lower; (d'intensità: pressione, temperatura) low; (non profondo: acqua) shallow; (prezzi) cheap; (debole: voce) soft","basso, -a"
"adj. (carino: auto, casa, donna, bambino) beautiful, (uomo) handsome; (piacevole: camminato, viaggio) lovely; (buono: idea, libro, film, voto) good; (sereno: tempo) fine; (nobile: gesto) kind","bello, -a"
"adj. (acqua, caffè) boiling (hot); fig. (temperamento, carattere) fiery","bollente, -i"
"adj. (abile: artigiano, dottore) capable; (per bene: ragazza) nice; (buono: marito, padre, bambino) good","bravo, -a"
"adj. short, brief","breve, -i"
"adj. (non bello: persona, quadro, spettacolo) ugly; (abitudine, momento) bad; (nuvoloso: tempo, giornata) horrible; (pesante: scherzo, tiro) nasty; (forte: raffreddore) heavy, (tosse) bad","brutto, -a"
"adj. (albergo, libro, voto) good; (gentile: persona, animo) kind; (calmo: bambino, cane) good; (abile: medico, avvocato, artigiano) good; (utilizzabile: attrezzatura, auto) good; (propizio: momento) right; (giusto: ragione) valid; (gradevole: odore) nice; (delizioso: pranzo, vino) delicious; (valido: biglietto) valid, (bancanote) genuine; (temperato: clima) temperate; (sano, robusto) healthy","buono, -a"
"adj. stormy","burrascoso, -a"
"adj. (clima, giornata, fronte) warm, hot; (acqua, cibo) hot; (che tiene caldo: cappotta, sciarpa) warm; (colore, voce) warm; (di conflitto: zona, città, anni) turbulent; (passionale) passionate","caldo, -a"
"adj. (in grado di) capable; (abile) able; (spazioso: ambiente) spacious, (borsa, valigia) capacious","capace, -i"
"adj. <-chi, -che> (pieno) loaded; (persona) laden; (pistola) loaded, (batteria) charged, (orologio, sveglia) wound up","carico, -a"
"adj. (amato) dear; (gentile) kind; (pregiato) precious; (costoso: negozio, prodotto) expensive","caro, -a"
"adj. (gener) bad, wicked; (irrequieto: bambino) naughty;","cattivo, -a"
"adj. concealed, hidden","celato, -a"
"adj. (indubbio, sicuro) definite; (garantito, sicuro) certain; (convinto) sure; (qualche) certain; (non definito) certain; (di tale genere) such; (tale) certain","certo, -a"
"adj. (delicato: colore, legno, birra, occhi) light, (pelle, capelli) fair; (luminoso: giorno, luce) bright; (limpido: cielo, acqua) clear; (comprensibile: stile) clear; (netto, deciso: rifiuto) flat","chiaro, -a"
"adj. (finestra, libro, ombrello, occhi) closed; (acqua, gas) turned off; (strada, passaggio) closed; (non più attivo: fabbrica, negozio) closed down; (temporaneamente: scuola, museo) closed; (concluso: capitolo) closed; (riservato: persona) reserved","chiuso, -a"
"adj. <sing> each","ciascuno, -a"
"adj. <-chi, -che> blind","cieco, -a"
"adj. surrounded","circondato, -a"
"adj. fig. full (of)","colmo, -a (di)"
"adj. (confuso: persona) undecided, (decisione) difficult; (contrastato: partita) hard-fought","combattuto, -a"
"adj. (della commedia: attore) comic(al), (buffo: scena, film) funny","comico, -a"
"adj. (di emozione: momento, storia, cerimonia) moved, touched","commosso, -a"
"adj. moving","commovente, -i"
"adj. (di tutti) common; (di due o più persone: interessi) common, (amico) mutual; (diffuso: opinione, uso) common; (medio, normale) ordinary; (ordinario: sale) common; (non raffinato: gente) ordinary","comune, -i"
"adj. (persona) aware","consapevole, -i"
"adj. (soddisfatto) pleased; (lieto) happy","contento, -a"
"adj. (struttura) covered, (luogo) indoor; FIN (assegno, rischio) covered; METEO (cielo, tempo) overcast","coperto, -a"
"adj. stout, corpulent","corpulento, -a"
"adj. (affermazione, risposta, persona, comportamento) correct; (compito, bozza) corrected","corretto, -a"
"adj. short","corto, -a"
"adj. (caro) expensive (costly)","costoso, -a"
"adj. (battaglia. film, immagine) bloody","cruento, -a"
"adj. (colore) dark; (notte, foresta) pitch-black; (voce) deep; (volto, sguardo) sullen","cupo, -a"
"adj. <inv> front","davanti"
"adj. weak","debole, -i"
"adj. dedicated","dedito, -a"
"adj. disappointed","deluso, -a"
"adj. demoralized","demoralizzato, -a"
"adj. (trasparente) diaphanous; (delicato: mani, pelle) transparent","diafano, -a"
"adj. (gener) difficult; (improbabile) unlikely; ","difficile, -i"
"adj. distrustful","diffidente, -i"
"adj. (persona) diligent; (lavoro) careful","diligente, -i"
"adj. straight","diritto, -a"
"adj. (soggetto a critique: opinione, scelta) dubious","discutibile, -i"
"adj. (stanza) untidy; (idea, racconto) incoherent; (vita, alimentazione) disorderly","disordinato, -a"
"adj. destroyed","distrutto, -a"
"adj. (differente) different; pl. (vari) various","diverso, -a"
"adj. (buffo) entertaining; (piacevole) enjoyable","divertente, -i"
"adj. sweetening","dolcificante, -i"
"adj. durable","durevole, -i"
"adj. (gener) hard; (ostinato) stubborn; (freddo) harsh","duro, -a"
"adj. <-ci, -che> (dell'economia: crisi, criterio, settore) economic; (poco costoso: albergo, vacanze, volo) cheap, inexpensive","economico, -a"
"adj. excited","emozionato, -a"
"adj. fam. umpteenth; MATH nth","ennesimo, -a"
"adj. <-ci, -che> (ambivalente: frase, risposta) ambiguous; (losco: persona, luogo) dubious","equivoco, -a"
"adj. (persona, cliente, pubblico) demanding","esigente, -i"
"adj.(attesa, lavoro, negoziati) lengthy","estenuante, -i"
"adj. (fuori: lato) outer; (fuori casa: parete, porta, pavimentazione) outdoor, (da fuori: nemico, pericolo) external","esterno, -a"
"adj. <-ei, -ee> (non conosciuto) unknown; (esterno) external; (non coinvolto) uninvolved","estraneo, -a"
"adj. (lavoro, esercizio, testo, guadagno) easy; (probabile) likely; (poco serio) easy","facile, -i"
"adj. (non vero: notizia, indizio) false; (errato: idea, sospetto) mistaken; (non sincero: sorriso, lacrime) fake; (falsificato: denaro) counterfeit, (quadro, gioielli) fake","falso, -a"
"adj. (vita, nucleo) family; (consueto: viso, linguaggio) familiar; (affabile: modi, tono) familiar, (semplice: pensione, trattamento) friendly; LING informal","familiare, -i"
"adj. famous","famoso, -a"
"adj. <-ci, -che> (irreale) imaginary; (straordinario) fantastic","fantastico, -a"
"adj. happy","felice, -i"
"adj. (folto: bosco) dense, (pelo) thick; (compatto: pettine, rete) fine; (denso: pioggia) heavy, (buio) pitch, (nebbia) dense; (mistero) impenetrable","fitto, -a"
"adj. (luce) dazzling; (ardente: amore, passione) intense; (brillante: idea) brilliant; (intenso: sguardo) withering","folgorante, -i"
"adj. (persona, idea, spesa) crazy; AUTO neutral","folle, -i"
"adj. (profondo) deep","fondo, -a"
"adj. fig. (raffinato: linguaggio, stile) elegant","forbito, -a"
"adj. foreign","forestiero, -a"
"(robusto) strong; (determinato: persona, carattere) string; (elevato: somma) large; (acuto: dolore) intense; (intenso: colore) bright, (sapore, odore) strong","forte, -i"
"adj. (acqua, vento, mani) cold; fig. (distaccato) cool","freddo, -a"
"adj. (bibita) fizzy, (vino) sparkling; (aria) crisp","frizzante, -i"
"adj. functional","funzionale, -i"
"adj. (meccanismo, sistema, relazione) functioning","funzionante, -i"
"adj. (persona, lotte) furious","furibondo, -a"
"adj. (gentile) kind, (educato) polite","garbato, -a"
"adj. (mani, piedi) frozen","gelato, -a"
"adj. (persona, idea, trovata, invenzione) brilliant","geniale, -i"
"adj. (persona) kind, (maniere) courteous; (sentimenti, animo) gentle","gentile, -i"
"adj. <-schi, -sche> gigantic","gigantesco, -a"
"adj. (equo: persona, causa, punizione) just; (vero: osservazione, informazioni) true; (adeguato: salario, prezzo, momento) right; (corretto: risposta, conto) correct","giusto, -a"
"adj. (esile) slender; (debole) frail","gracile, -i"
"adj. (vasto) big, (largo) wide; (alto: persona) tall; (di età) big, (adulto) grown-up; fig. (bravo) brilliant; (intenso) great","grande, -i"
"adj. (persona) fat; (pelle, capelli) greasy; (carne, formaggio, brodo) fatty; (cucina, cibo) rich; (fertile) fertile; fig. (ricco: guadagno) rich","grasso, -a"
"adj. (materiali, prodotti) raw, (petrolio) crude, (diamante) uncut, (tessuto) unbleached; (grossolano) rough","grezzo, -a"
"adj. (rotto) broken; (frutta, uova) rotten; (dente) decayed","guasto, -a"