"vt. (lasciare: famiglia, paese) to abandon; (trascurare: casa, giardino) to neglect; (rinunciare a: progetto, speranza) to give up","abbandonare; avere abbandonato"
"to drop out of school","abbandonare gli studi"
"to give up hope","abbandonare la speranza"
"vr. to let o.s. go","abbandonarsi; essersi abbandonato"
"vr. to indulge in sth","abbandonarsi a qc"
"to indulge in fantasy","abbandonarsi alla fantasia"
"to indulge in a vice","abbandonarsi a un vizio"
"vt. (mettere più in basso) to lower; (prezzo, temperatura) to reduce","abbassare; avere abbassato"
"to get humbled, become less arrogant","abbassare la cresta"
"to lower one's voice","abbassare la voce"
"vr. (chinarsi) to bend down; (umiliarsi) to demean o.s.; (calare: temperatura) to drop; (sole) go down","abbassarsi; essersi abbassato"
"to lower o.s. to do sth","abbassarsi a fare qc"
"vt. (con le braccia) to hug, embrace","abbracciare; avere abbracciato"
"vt. (paese, mondo) to inhabit; (casa, appartamento) to live in; vi. to live","abitare; avere abitato"
"to live in Italy","abitare in Italia"
"to live in Lazio","abitare in Lazio"
"to live in Rome","abitare a Roma"
"to live in the country","abitare in campagna"
"to live in the city","abitare in città"
"vt. to get used (to), get accustomed (to)","abituarsi (a); essersi abituato"
"to get used to (doing) sth","abituarsi a (fare) qc"
"to abuse, (approfittare) take advantage (of)","abusare (di); avere abusato"
"to take advantage of, abuse sth","abusare di qc"
"v. imp. to happen","accadere; essere accaduto"
"vt. (fuoco, sigaretta) to light; (apparecchio, luce) to switch, turn on","accendere; avere acceso"
"to light a fire","accendere un fuoco"
"to start the car","accendere l'auto"
"to turn on the lights","accendere le luci"
"vr. (prender fuoco) to catch fire; (luce, stufa) to come on","accendersi; essersi acceso"
"vt. to accept","accettare; avere accettato"
"to accept a challenge","accettare una sfida"
"to accept an invitation","accettare un invito"
"vt. (persone) to welcome; (consiglio, richiesta) to accept","accogliere; avere accolto"
"to welcome sb with open arms","accogliere qn a braccia aperte"
"vt. (andare insieme) to go with; to accompany","accompagnare; avere accompagnato"
"to see sb off, see sb to the door","accompagnare qn alla porta"
"vt. to please, satisfy","accontentare; avere accontentato"
"vr. to content o.s. (with)","accontentarsi (di); essersi accontentato"
"to be content with sth","accontentarsi di qc"
"to be easily pleased","accontentarsi di poco"
"vt. to shorten","accorciare; avere accorciato"
"vr. (giornate) to grow shorter; (abito) to shrink","accorciarsi; essersi accorciato"
"vr. (notare) to notice; (capire) realize; to become aware of","accorgersi (di); essersi accorto"
"to notice, become aware of sth","accorgersi di qc"
"vt. (soldi, punti) to accumulate; (energia) to store","accumulare; avere accumulato"
"vr. to accumulate","accumularsi; essersi accumulato"
"vt. (modificare: comportamento, metodo) to adapt","adattare; avere adattato"
"vr. to adapt o.s.; (stare bene) to suit","adattarsi; essersi adattato"
"to adapt to sth","adattarsi a qc"
"vt. to decorate","addobbare; avere addobbato"
"vt. (caffè) to sweeten; (acciaio) to temper; fig. (acqua) soften","addolcire; avere addolcito"
"vi. (rimanere a contatto) to stick (to); fig. (proposta, richiesta) to agree (to); (iniziativa) to support","aderire (a); avere aderito"
"vr. to go to sleep, fall asleep","addormentarsi; essersi addormentato"
"to be dead tired","addormentarsi in piede"
"vt. (persona) to adore; (arte, cibo) to love","adorare; avere adorato"
"vt. to adopt","adottare; avere adottato"
"vt. (attrarre, sedurre) to charm","affascinare; avere affascinato"
"vt. to tire","affaticare; avere affaticato"
"vr. to tire o.s. out","affaticarsi; essersi affaticato"
"vt. (prendere) to grab; (occasione) to seize; (senso, idea) to grasp","afferrare; avere afferrato"
"to grab sb by the arm","afferrare qn per un braccio"
"vr. to cling, hold on (to)","afferrarsi (a); essersi afferrato"
"vt. (mettere a lato) to place side by side; fig. (sostenere) to support","affiancare; avere affiancato"
"vt. (dare in affitto: casa) to rent out; (prendere in affitto: casa) to rent","affittare; avere affittato"
"vt. to trouble, afflict","affliggere; avere afflitto"
"vt. (sveltire) to hasten, speed up; (anticipare: arrivo, partenza) to bring forward","affrettare; avere affrettato"
"to pick up the pace","affrettare il passo"
"vr. to hurry up","affrettarsi; essersi affrettato"
"to hurry to do sth","affrettarsi a fare qc"
"vi. to drown","affogare; essere affogato"
",vt. (andare incontro a: pericolo, morte, nemico, avversario) to face; (paura, disgrazia) confront","affrontare; avere affrontato"
"vr. (scontrarsi: eserciti) to clash","affrontarsi; essersi affrontato"
"vt. (render facile: compito, lavoro, lettura) to facilitate; (favorire: commercio, investimenti) to make easier","agevolare; avere agevolato"
"vt. to add","aggiungere; avere aggiunto"
"vt. (riparare: motore, televisione) to repair, (vestiti) to alter; (mettere in ordine: capelli) to tidy, (abiti) to straighten","aggiustare; avere aggiustato"
"vi. (operare, avere effetto) to act; (comportarsi) to behave","agire; avere agito"
"to behave well/badly","agire bene/male"
"vt. (assistere) to help; (favorire) to aid","aiutare; avere aiutato"
"to help sb (to do sth)","aiutare qn (a fare qc)"
"vr. to help o.s.","aiutarsi; essersi aiutato"
"vt. (nutrire: persona, animale) to feed; (motore, computer, caldaia) to power","alimentare; avere alimentato"
"vr. to eat","alimentarsi; essersi alimentato"
"vt. to flood","allagare; avere allagato"
"vt. (atleta, squadra, memoria) to train; (cuore, muscoli) to strengthen","allenare; avere allenato"
"vr. to train","allenarsi; essersi allenato"
"vt. (collocare lontano) to move away; (dal posto di lavoro) to dismiss; (dalla scuola) to expel","allontanare; avere allontanato"
"vr. to move away","allontanarsi; essersi allontanato"
"vt. (accrescere di lunghezza: storia, libro, film) to make longer; (accrescere di durata: vita, riunione) to extend","allungare; avere allungato"
"vr. (farsi più lungo: giornate) to get longer; (sdraiarsi) to stretch out","allungarsi; essersi allungato"
"vt. (gener) to raise; (peso) to lift","alzare; avere alzato"
"to roll one's eyes","alzare gli occhi al cielo"
"to shrug","alzare le spalle"
"to get cocky, become over-confident","alzare la cresta"
"vr. (levarsi) to get up; (sorgere: sole, luna) to rise","alzarsi; essersi alzato"
"to stand up, get on one's feet","alzarsi in piedi"
"to get up from the table","alzarsi da tavolo"
"to get out of bed","alzarsi dal letto"
"(cattivo umore) to get up on the wrong foot","alzarsi con il piede sbagliato"
"vt. to love","amare; avere amato"
"to love to do sth","amare fare qc"
"vt. (film, racconto) to set","ambientare; avere ambientato"
"vr. to settle in, get used to one's surroundings","ambientarsi; essersi ambientato"
"vr. to get sick, fall ill","ammalarsi; essersi ammalato"
"to get sick with sth","ammalarsi di qc"
"vt. to bewitch","ammaliare; avere ammaliato"
"vt. (uccidere) to kill; fig. (affaticare) to exhaust","ammazzare; avere ammazzato"
"to kill time","ammazzare il tempo"
"vr. fig. (suicidarsi) to kill o.s.","ammazzarsi; essersi ammazzato"
"vt. (riconoscere, accogliere) to admit; (permettere) to accept","ammettere; avere ammesso"
"vt. to admire","ammirare; avere ammirato"
"vt. to go","andare; essere andato"
"to go home","andare a casa"
"to go to sleep","andare a dormire"
"to go to do sth","andare a fare qc"
"to go finish sth","andare a finire qc"
"to go and get sth","andare a prendere qc"
"to go and see somebody","andare a trovare qn"
"to go to work","andare al lavoro"
"to go to the market","andare al mercato"
"to go to the dentist","andare dal dentista"
"to go to the doctor","andare dal dottore"
"to be proud of, take pride in sb/sth","andare fiero di qn/qc"
"to go to the bank","andare in banca"
"to go to the pharmacy","andare in farmacia"
"to drive (a car)","andare in macchina"
"to drive (a motorcycle)","andare in moto"
"to go forward","andare avanti"
"to go away","andare via"
"vr. to go away; essersene andato","andarsene"
"vt./vi. to drown","annegare; avere annegato"
"vr. (uccidersi) to down o.s.","annegarsi; essersi annegato"
"vt. to annoy, bore","annoiare; avere annoiato"
"vr. to be bored","annoiarsi; essersi annoiato"
"vt. to number","annoverare; avere annoverato"
"vt. (fare prima: azione) to bring forward; (dire prima: notizia) to reveal in advance; (dare prima: somma) to advance","anticipare; avere anticipato"
"vi. to appear; (sembrare) to seem","apparire; essere apparso"
"to appear suddenly","apparire all'improvviso"
"to appear in a dream","apparire in sogno"
"vi. to belong","appartenere; essere appartenuto"
"to belong to sb/sth","appartenere a qn/qc"
"vt. (cappotto, giacca, quadro, lampada) to hang (up)","appendere; avere appeso"
"vr. to hang","appendersi; essersi appeso"
"vt. (imparare) to learn; (venire a sapere) to learn about","apprendere; avere appreso"
"vi. (trarre vantaggio) to take advantage (of), to make the most (of)","approfittare (di)"
"to take advantage of sb/sth","approfittare di qu/qc"
"vt. fig. (rendere (più) profondo: divario) to deepen; fig. (studiare a fondo: materia, tecnica) to go into great depth","approfondire"
"vt. to approve","approvare; avere approvato"
"vt. to appreciate","apprezzare; avere apprezzato"
"vt. to open","aprire; avere aperto"
"to open the window","aprire la finestra"
"to open the door","aprire la porta"
"(rendersi conto) to open one's eyes (to sth)","aprire gli occhi"
"(prestare attenzione) to listen carefully","aprire le orecchie"
"vr. to get angry","arrabbiarsi; essersi arrabbiato"
"vr. (darsi vinto) to surrender (to); fig. (desistere) to give in (to)","arrendersi (a); essersi arreso"
"vi. (giungere) to arrive","arrivare; essere arrivato"
"vi. (raggiungere) to reach","arrivare (a); essere arrivato"
"to reach an agreement","arrivare ad un accordo"
"to reach a good point","arrivare a buon punto"
"to arrive home","arrivare a casa"
"to manage to do sth","arrivare a fare qc"
"to reach, arrive at a conclusion","arrivare ad una conclusione"
"to arrive at work","arrivare al lavoro"
"to arrive at the dentist","arrivare dal dentista"
"to arrive at the doctor","arrivare dal dottore"
"to arrive at the bank","arrivare in banca"
"to arrive at the pharmacy","arrivare in farmacia"
"to arrive early","arrivare in anticipo"
"to arrive on time","arrivare in orario"
"to arrive late","arrivare in ritardo"
"vt. to dry","asciugare; avere asciugato"
"vt. to listen to, vi. to listen","ascoltare; avere ascoltato"
"to listen to sb do sth","ascoltare qn fare qc"
"vt. to wait (for)","aspettare; avere aspettato"
"to wait until the end of sth","aspettare la fine di qc"
"to wait until the end","aspettare la fine"
"vr. to expect","aspettarsi; essersi aspettato"
"vt. (provare) to try; (mangiare/bere una piccola quantità di) to taste/sip","assaggiare; avere assaggiato"
"vt. (contro rischi: casa, auto, pacco) to insure; (garantire, fissare) to ensure, assure","assicurare; avere assicurato"
"(furto, rischio, incendio) to insure against sth","assicurare contro qc"
"(affermare) to assure sb of sth","assicurare qc a qn"
"to assure sb that","assicurare a qn che"
"vr. (fare un assicurazione) to get insurance; (garantirsi) to secure; (accertarsi) to make sure, ensure","assicurarsi; essersi assicurato"
"(furto, rischio, incendio) to insure o.s. against sth","assicurarsi contro qc"
"vt. (cliente) to assist; vi. (spettacolo, lezione) to attend; (incidente) to witness","assistere; avere assistito"
"vi. to resemble","assomigliare; avere assomigliato"
"vr. to look alike","assomigliarsi; essersi assomigliato"
"vt. (gener) to absorb; (incorporare: azienda, quota) to swallow up; (consumare: tempo) to take up","assorbire; avere assorbito"
"vt. (responsibilità, impegno) to take on, (personale, operaio) to employ, hire","assumere; avere assunto"
"vt. (fissare) to attach; (con colla: etichetta, manifesto) to stick; vi. (avere azione adesiva) to stick; (muovere all'assalto) to attack","attaccare; avere attaccato"
"(malattia) to give sb sth","attaccare qc a qu"
"vt. (acqua) to draw (from); (denaro, risorse) to draw (on), obtain (from)","attingere (a o da); avere attinto"
"vt. fig. (tirare a sé) to attract; fig. (allettare) to appeal to","attirare; avere attirato"
"vt. (tirare a sé) to attract; fig. (allettare: proposta, idea) to appeal","attrarre; avere attratto"
"vt. (passare, attraverso) to cross; fig. (trascorrere: periodo) to go through","attraversare; avere attraversato"
"to cross the street","attraversare la strada"
"to go through a difficult time","attraversare un brutto periodo"
"vt. to increase; avere aumentato; vi. (numero, prezzi, salari) to rise; (quantità) to increase","aumentare; essere aumentato"
"vt. to have","avere; avere avuto"
"to need to do sth","aver bisogno di fare qc"
"to need sth","aver bisogno di qc"
"to want to do sth","aver voglia di fare qc"
"to  want sth","aver voglia di qc"
"to have sth to drink","avere qc da bere"
"to have sth to do","avere qc da fare"
"to have sth to eat","avere qc da mangiare"
"vi. imp. to take place, to happen, to occur","avvenire; essere avvenuto"
"vt. (ammonire, minacciare) to warn","avvertire; avere avvertito"
"to let sb know (about sth)","avvertire qu (di qc)"
"(mettere vicino) to bring close, near; (persona) to approach","avvicinare; avere avvicinato"
"to bring sth close to sb/sth","avvicinare qc a qn/qc"
"to approach sb","avvicinare qn"
"vr. (farsi vicino) to come closer; (essere simile) to resemble","avvicinarsi; essersi avvicinato"
"to come closer to, approach sb/sth","avvicinarsi a qn/qc"
"vt. (informare) to inform; (ammonire) to warn","avvisare; avere avvisato"
"vt. .fig (racconto, spettacolo) to captivate","avvincere; avere avvinto"
"vt. (matassa, filo, cassetta) to wind","avvolgere; avere avvolto"
"to wind sth around sb/sth","avvolgere qc attorno a qu/qc"
"vr. to wind","avvolgersi; essersi avvolto"